stage,objective
1,3.134768609482137e6
2,2.9662137763456134e6
3,3.107598597905274e6
4,2.959261176560229e6
5,3.0024478174046744e6
6,3.095548280688757e6
7,3.043824946619241e6
8,3.2804925957736666e6
9,4.447877199263228e6
10,4.923586699307611e6
11,2.773522317258263e6
12,2.346974652526355e6
13,2.3982790361143094e6
14,2.6331928747698916e6
15,2.728496130260241e6
16,2.8709087046757787e6
17,2.735375177404967e6
18,2.6738569857392595e6
19,2.8396780636473238e6
20,3.926995203688841e6
21,4.770403263973297e6
22,3.9222918944205684e6
23,1.9526582051967222e6
