plant,unit,value
1,1,657.0
1,2,1350.0
1,3,2.88
1,4,209.95299999999992
1,5,192.046
1,6,25.48
1,7,529.0
1,8,13.2
1,9,255.0
1,10,233.24950000000004
1,11,320.38
1,12,270.2
1,13,39.15
1,14,183.06
1,15,28.82
1,16,75.69
1,17,177.48
1,18,637.2147561640784
1,19,646.1
1,20,400.0
1,21,99.0
1,22,192.0
1,23,153.79
1,24,220.02
1,25,24.08
1,26,64.0
1,27,155.04
1,28,8.7
1,29,18.48
1,30,259.6
1,31,44.0
1,32,247.68
1,33,234.78
1,34,162.54
1,35,16.0
1,36,102.0
1,37,995.0811737798062
1,38,810.9920000000004
1,39,0.8
1,40,197.0
1,41,96.25
1,42,159.52186192578804
1,43,5.94
2,1,17.82
2,2,358.9
2,3,358.9
2,4,348.6
2,5,43.47
2,6,65.7
2,7,3.28
2,8,17.28559999999999
2,9,85.75
2,10,125.69519999999997
2,11,249.40940000000006
2,12,356.251
2,13,2.64
2,14,122.18299999999999
2,15,309.25
2,16,15.65
2,17,576.0
3,1,5.33
3,2,4.51
3,3,13.12
3,4,4.51
3,5,39.07799999999994
3,6,54.72
3,7,54.62550007456328
3,8,5.33
3,9,6.15
3,10,184.8
3,11,87.06905267685971
3,12,5.33
3,13,6.15
3,14,115.92
3,15,343.28
3,16,90.89
3,17,90.68788327190174
3,18,6.15
3,19,41.82
3,20,6.15
3,21,105.28959478384547
3,22,5.33
3,23,5.33
3,24,19.077201252711568
3,25,42.51841677939381
3,26,15.37
3,27,19.14
3,28,146.94
3,29,30.5
3,30,31.2
3,31,104.31
3,32,533.0
3,33,222.54354935377467
4,1,106.24
4,2,106.24
