stage,objective
1,3.021777005813293e6
2,3.0217672660569996e6
3,3.084693415961221e6
4,4.1043797751354724e6
5,3.9925441965728104e6
6,4.1043849530000016e6
7,3.0217713374999985e6
8,3.1629831372608766e6
9,3.343485872719411e6
10,3.273274821750935e6
11,844388.8037
12,716937.0780999996
13,870355.1717000008
14,2.6543889211547524e6
15,1.5281894871297702e6
16,3.036334959834665e6
17,3.0363284769826084e6
18,1.2639312082599998e6
19,799340.7999347993
20,1.0432048703658897e6
21,2.6300638303843103e6
22,3.0217790924890162e6
23,581429.8433841903
